data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-07-21 08:05:50.380327;18;São Paulo;Ana Oliveira;Tablet ZetaPhone;Fidel Smith;masculino;boleto
2024-07-21 08:56:52.406021;19;Rio de Janeiro;Juliana Oliveira;Smartphone ZetaPhone Universal;Eduardo Ellis;masculino;pix
2024-07-21 12:59:50.072178;20;Belo Horizonte;Fernanda;Smartphone ZetaPhone Universal;Dorothy Chu;feminino;espécie
2024-07-21 13:32:50.943651;21;Belo Horizonte;Carlos Silva;Smartphone ZetaPhone Universal;Suzanne Norwood;feminino;cartão de crédito
2024-07-21 14:19:51.440939;22;Belo Horizonte;Carlos Silva;Smartwatch ZetaWatch;Rita West;feminino;cartão de crédito
2024-07-21 14:37:59.030212;23;São Paulo;Lucas Pereira;Smartwatch ZetaWatch;Agatha Mignot;feminino;cartão de crédito
2024-07-21 14:57:56.934594;24;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Tomasa Hill;feminino;espécie
2024-07-22 05:41:49.498933;25;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Camille Taylor;feminino;pix
2024-07-22 05:43:56.241965;26;Florianópolis;Gustavo Lima;Tablet ZetaPhone;Armand Valdes;masculino;cartão de crédito
2024-07-22 06:55:54.539661;27;Belo Horizonte;Carlos Silva;Tablet ZetaPhone;Shelly Schryer;feminino;cartão de débito
2024-07-22 07:24:53.855626;28;Florianópolis;Jorge Ferreira;Notebook;Michael Starr;masculino;cartão de crédito
2024-07-22 13:22:54.428453;29;Porto Alegre;Mário Silva;Notebook;Salvatore Harris;masculino;cartão de crédito
2024-07-22 14:58:55.911340;30;Florianópolis;Gustavo Lima;Smartwatch ZetaWatch;Michelle Gustafson;feminino;pix
2024-07-23 05:25:51.233886;31;Belo Horizonte;Fernanda;Tablet ZetaPhone;Jennifer Pickard;feminino;cartão de crédito
2024-07-23 05:57:52.691903;32;Rio de Janeiro;Pedro Pereira;Smartwatch ZetaWatch;Ashley Carter;feminino;pix
2024-07-23 07:50:57.113208;33;Belo Horizonte;Carlos Silva;Tablet ZetaPhone;Sophie Davis;feminino;boleto
2024-07-23 10:46:54.348379;34;Florianópolis;Gustavo Lima;Notebook;Beatrice Ward;feminino;pix
2024-07-23 15:23:50.985978;35;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Elmer Kennerly;masculino;pix
2024-07-24 05:47:00.834394;36;Belo Horizonte;Fernanda;Fone ZetaAudio;Shan Chapman;feminino;boleto
2024-07-24 05:49:59.477402;37;São Paulo;Lucas Pereira;Notebook;Robert Fontanella;masculino;espécie
2024-07-24 05:51:55.118834;38;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Michael Schroepfer;masculino;cartão de crédito
2024-07-24 06:29:56.269785;39;São Paulo;Lucas Pereira;Tablet ZetaPhone;William Wells;masculino;cartão de débito
2024-07-24 07:14:50.568982;40;Florianópolis;Gustavo Lima;Notebook;David Wingate;masculino;boleto
2024-07-24 07:16:58.850193;41;Porto Alegre;Robson Souza;Tablet ZetaPhone;Bob Munson;masculino;cartão de crédito
2024-07-24 07:52:52.487003;42;Florianópolis;Gustavo Lima;Smartphone ZetaPhone Universal;Kim Macias;feminino;cartão de débito
2024-07-24 10:44:58.188713;43;São Paulo;Ana Oliveira;Smartphone ZetaPhone Universal;Cornelius Salvaggio;masculino;cartão de débito
2024-07-25 04:26:00.910057;44;São Paulo;Ana Oliveira;Smartwatch ZetaWatch;Connie Melendez;feminino;boleto
2024-07-25 07:19:52.914275;45;São Paulo;Lucas Pereira;Smartwatch ZetaWatch;Steven Bradfield;masculino;pix
2024-07-25 07:48:59.309921;46;São Paulo;Lucas Pereira;Smartphone ZetaPhone Universal;Israel Wadding;masculino;cartão de crédito
2024-07-25 08:44:00.735950;47;Belo Horizonte;Fernanda;Notebook;Richard Barreras;masculino;espécie
2024-07-25 12:34:49.704010;48;Florianópolis;Jorge Ferreira;Tablet ZetaPhone;Clarisa Botello;feminino;espécie
2024-07-26 04:26:50.807268;49;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Howard Terkelsen;masculino;cartão de débito
2024-07-26 06:25:49.792345;50;Belo Horizonte;Carlos Silva;Notebook;Randall Tudor;masculino;cartão de débito
2024-07-26 07:07:50.996585;51;Belo Horizonte;Fernanda;Notebook;Karen Nolie;feminino;cartão de crédito
2024-07-26 08:48:56.940306;52;Florianópolis;Jorge Ferreira;Fone ZetaAudio;Paul Ross;masculino;cartão de crédito
2024-07-26 10:02:52.816302;53;Florianópolis;Jorge Ferreira;Tablet ZetaPhone;Douglas Fernandez;masculino;pix
2024-07-26 11:11:49.967012;54;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Lupe Evans;feminino;cartão de crédito
2024-07-26 11:46:52.160961;55;São Paulo;Ana Oliveira;Notebook;Margaret Freeman;feminino;cartão de débito
2024-07-26 14:08:51.325310;56;Florianópolis;Gustavo Lima;Notebook;Timothy Hastings;masculino;boleto
2024-07-27 05:44:56.342616;57;São Paulo;Ana Oliveira;Notebook;Cynthia Garza;feminino;boleto
2024-07-27 06:17:52.573006;58;Florianópolis;Jorge Ferreira;Notebook;Rosemary Larkin;feminino;boleto
2024-07-27 06:31:51.312339;59;São Paulo;Lucas Pereira;Tablet ZetaPhone;Henry Urena;masculino;pix
2024-07-27 08:22:54.730998;60;São Paulo;Lucas Pereira;Notebook;Francisca Walsh;feminino;espécie
2024-07-27 08:29:50.741373;61;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Corrine Carlone;feminino;boleto
2024-07-27 10:34:54.639353;62;São Paulo;Ana Oliveira;Tablet ZetaPhone;Laurie Trail;feminino;cartão de crédito
2024-07-27 12:04:55.082886;63;São Paulo;Lucas Pereira;Fone ZetaAudio;Bernard Dixon;masculino;pix
2024-07-27 12:28:00.098950;64;São Paulo;Ana Oliveira;Notebook;Edward Sumners;masculino;cartão de débito
2024-07-27 12:30:58.050097;65;Florianópolis;Gustavo Lima;Notebook;Joseph Vaughn;masculino;cartão de crédito
2024-07-27 13:03:52.010707;66;Belo Horizonte;Fernanda;Smartwatch ZetaWatch;Denise Bates;feminino;cartão de crédito
2024-07-27 13:49:53.497138;67;Florianópolis;Gustavo Lima;Fone ZetaAudio;Frank Smith;masculino;cartão de crédito
2024-07-27 13:56:58.292266;68;Florianópolis;Gustavo Lima;Notebook;Linda Goldberg;feminino;cartão de débito
2024-07-28 09:39:00.409836;69;Belo Horizonte;Fernanda;Tablet ZetaPhone;David Daves;masculino;pix
2024-07-28 10:08:52.646309;70;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Gloria Duby;feminino;pix
2024-07-28 12:05:53.771121;71;São Paulo;Lucas Pereira;Notebook;Brock Clark;masculino;boleto
2024-07-28 12:10:53.423880;72;Florianópolis;Jorge Ferreira;Smartphone ZetaPhone Universal;Angel Then;masculino;espécie
2024-07-28 15:19:52.763948;73;Belo Horizonte;Fernanda;Fone ZetaAudio;Cheryl Watts;feminino;boleto
2024-07-29 10:44:00.121799;74;Porto Alegre;Mário Silva;Smartphone ZetaPhone Universal;Mary Novotny;feminino;espécie
2024-07-29 12:39:51.243537;75;Porto Alegre;Robson Souza;Tablet ZetaPhone;Tony Mckeever;masculino;cartão de débito
2024-07-30 06:04:51.238409;76;São Paulo;Ana Oliveira;Smartwatch ZetaWatch;Shane Perez;masculino;boleto
2024-07-30 08:49:00.302423;77;Florianópolis;Gustavo Lima;Notebook;Jarrett Degasparre;masculino;boleto
2024-07-30 13:17:56.366331;78;São Paulo;Lucas Pereira;Smartwatch ZetaWatch;George Mckenney;masculino;pix
2024-07-30 13:33:55.085361;79;Porto Alegre;Robson Souza;Fone ZetaAudio;Paula Rasmussen;feminino;boleto
2024-07-31 05:49:55.261472;80;Belo Horizonte;Fernanda;Fone ZetaAudio;Elisabeth Olson;feminino;cartão de débito
2024-07-31 07:01:52.162013;81;São Paulo;Ana Oliveira;Fone ZetaAudio;Luis Dixon;masculino;espécie
2024-07-31 09:31:57.965024;82;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;George Hatchett;masculino;espécie
2024-07-31 14:36:53.924178;83;Porto Alegre;Robson Souza;Tablet ZetaPhone;Irene Miller;feminino;cartão de crédito
2024-07-31 15:09:58.838349;84;São Paulo;Lucas Pereira;Notebook;Mabel Leung;feminino;cartão de débito
2024-08-01 13:21:00.292060;85;Florianópolis;Gustavo Lima;Smartphone ZetaPhone Universal;Alice Mcveigh;feminino;boleto
2024-08-02 07:50:55.827602;86;São Paulo;Ana Oliveira;Smartphone ZetaPhone Universal;Ronnie Murley;masculino;boleto
2024-08-02 09:12:55.846033;87;Belo Horizonte;Fernanda;Smartwatch ZetaWatch;Max Kellett;masculino;cartão de crédito
2024-08-02 09:56:55.019066;88;Rio de Janeiro;Pedro Pereira;Fone ZetaAudio;Mary Truitt;feminino;boleto
2024-08-02 12:13:59.747153;89;Florianópolis;Gustavo Lima;Fone ZetaAudio;Steven Goodwin;masculino;espécie
2024-08-02 13:42:52.331213;90;Belo Horizonte;Fernanda;Notebook;Gayle Ridgeway;feminino;espécie
2024-08-03 05:49:53.779701;91;São Paulo;Lucas Pereira;Tablet ZetaPhone;Joseph Sumpter;masculino;cartão de crédito
2024-08-03 07:03:58.051281;92;Florianópolis;Gustavo Lima;Fone ZetaAudio;Devin Chasteen;masculino;espécie
2024-08-03 07:33:00.416877;93;Belo Horizonte;Carlos Silva;Tablet ZetaPhone;Jenny Smith;feminino;espécie
2024-08-03 08:34:59.475881;94;Rio de Janeiro;Pedro Pereira;Smartphone ZetaPhone Universal;Michael Tilley;masculino;pix
2024-08-03 09:49:00.484328;95;Florianópolis;Jorge Ferreira;Fone ZetaAudio;Brian King;masculino;cartão de débito
2024-08-03 11:20:53.662210;96;Porto Alegre;Mário Silva;Smartphone ZetaPhone Universal;Danielle Sims;feminino;pix
2024-08-03 14:12:56.006367;97;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Charles Allen;masculino;pix
2024-08-04 05:13:57.165492;98;Florianópolis;Jorge Ferreira;Smartwatch ZetaWatch;Alberta Dunn;feminino;cartão de crédito
2024-08-04 09:04:58.137299;99;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Bruno Kelley;masculino;boleto
2024-08-04 13:31:51.056148;100;Belo Horizonte;Fernanda;Tablet ZetaPhone;Gerda Puente;feminino;cartão de débito
2024-08-04 14:25:58.933422;101;Florianópolis;Gustavo Lima;Notebook;Joe Velez;masculino;cartão de crédito
2024-08-05 07:36:00.039566;102;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Linda Williams;feminino;cartão de débito
2024-08-05 11:09:50.623001;103;Rio de Janeiro;Pedro Pereira;Smartwatch ZetaWatch;Steve Albert;masculino;cartão de débito
2024-08-05 11:44:54.235822;104;Florianópolis;Jorge Ferreira;Fone ZetaAudio;Thomas Darnell;masculino;espécie
2024-08-05 12:10:52.627511;105;Florianópolis;Gustavo Lima;Fone ZetaAudio;Larry Mona;masculino;boleto
2024-08-06 06:36:59.747669;106;Florianópolis;Jorge Ferreira;Smartphone ZetaPhone Universal;Vicki Valdez;feminino;boleto
2024-08-06 07:12:51.322997;107;Rio de Janeiro;Pedro Pereira;Smartwatch ZetaWatch;Katherine Person;feminino;cartão de débito
2024-08-06 07:40:53.879096;108;Rio de Janeiro;Juliana Oliveira;Notebook;Frank Redman;masculino;cartão de crédito
2024-08-06 11:09:54.422992;109;São Paulo;Lucas Pereira;Smartphone ZetaPhone Universal;Teresa Nelson;feminino;cartão de débito
2024-08-06 11:15:58.722428;110;Porto Alegre;Mário Silva;Tablet ZetaPhone;George Carter;masculino;cartão de crédito
2024-08-06 11:25:55.988921;111;Belo Horizonte;Fernanda;Tablet ZetaPhone;Cynthia Milburn;feminino;espécie
2024-08-06 12:53:00.922727;112;Belo Horizonte;Fernanda;Tablet ZetaPhone;Helen Daisley;feminino;pix
2024-08-06 13:24:59.951751;113;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Maureen Russell;feminino;cartão de crédito
2024-08-07 08:59:53.670410;114;Rio de Janeiro;Juliana Oliveira;Tablet ZetaPhone;Jon Boucher;masculino;espécie
2024-08-07 14:14:50.456499;115;Rio de Janeiro;Pedro Pereira;Fone ZetaAudio;Donald Kleypas;masculino;boleto
2024-08-08 05:16:58.669256;116;São Paulo;Lucas Pereira;Smartwatch ZetaWatch;Curtis Simpon;masculino;boleto
2024-08-08 10:56:00.965907;117;Porto Alegre;Mário Silva;Tablet ZetaPhone;Gerald Zuidema;masculino;espécie
2024-08-08 11:26:58.068916;118;Florianópolis;Jorge Ferreira;Smartphone ZetaPhone Universal;Kyle Madrid;masculino;cartão de débito
2024-08-08 13:04:54.656534;119;São Paulo;Ana Oliveira;Smartphone ZetaPhone Universal;Ruby Burton;feminino;pix
2024-08-09 05:06:57.388513;120;Florianópolis;Jorge Ferreira;Notebook;Theodore Whitener;masculino;boleto
2024-08-09 08:03:50.381542;121;São Paulo;Lucas Pereira;Smartphone ZetaPhone Universal;Russell Clark;masculino;boleto
2024-08-09 10:58:54.147153;122;São Paulo;Ana Oliveira;Tablet ZetaPhone;Larry Willette;masculino;boleto
2024-08-09 12:07:52.013999;123;Belo Horizonte;Fernanda;Notebook;Scott Fleming;masculino;cartão de débito
2024-08-09 13:20:01.041854;124;Rio de Janeiro;Pedro Pereira;Fone ZetaAudio;Gus Lamoine;masculino;pix
2024-08-09 13:35:53.885585;125;Belo Horizonte;Fernanda;Smartwatch ZetaWatch;Joshua Escalante;masculino;cartão de crédito
2024-08-09 13:48:58.542830;126;Porto Alegre;Robson Souza;Tablet ZetaPhone;Charles Liddell;masculino;pix
2024-08-09 14:28:00.273637;127;Belo Horizonte;Carlos Silva;Tablet ZetaPhone;Joane Rumsey;feminino;boleto
2024-08-10 11:56:00.850366;128;Florianópolis;Jorge Ferreira;Tablet ZetaPhone;Susan Wiley;feminino;cartão de débito
2024-08-10 12:09:54.847341;129;São Paulo;Lucas Pereira;Tablet ZetaPhone;Christopher Jeffrie;masculino;espécie
2024-08-10 12:19:53.441192;130;Belo Horizonte;Fernanda;Fone ZetaAudio;Grant Collins;masculino;boleto
2024-08-10 12:50:54.724520;131;Florianópolis;Gustavo Lima;Fone ZetaAudio;Joanne Whetzel;feminino;espécie
2024-08-10 13:12:55.601964;132;Porto Alegre;Robson Souza;Tablet ZetaPhone;Margret Huynh;feminino;pix
2024-08-10 13:21:58.658815;133;Florianópolis;Gustavo Lima;Notebook;Keith Mincy;masculino;cartão de crédito
2024-08-10 14:08:55.554451;134;Florianópolis;Jorge Ferreira;Smartphone ZetaPhone Universal;Felicia Fenner;feminino;boleto
2024-08-10 14:22:54.678469;135;Rio de Janeiro;Pedro Pereira;Smartwatch ZetaWatch;Mary Bull;feminino;boleto
2024-08-10 14:56:52.022016;136;Florianópolis;Gustavo Lima;Smartwatch ZetaWatch;Cynthia Rafferty;feminino;cartão de débito
2024-08-11 05:36:52.927122;137;Florianópolis;Jorge Ferreira;Smartphone ZetaPhone Universal;Scott Elrod;masculino;espécie
2024-08-11 06:54:54.731725;138;Porto Alegre;Robson Souza;Fone ZetaAudio;Anne Angel;feminino;boleto
2024-08-11 13:30:51.651694;139;Porto Alegre;Robson Souza;Fone ZetaAudio;Elvira Brown;feminino;espécie
2024-08-11 13:46:58.209173;140;Rio de Janeiro;Juliana Oliveira;Fone ZetaAudio;Walter Ellis;masculino;pix
2024-08-12 04:39:53.927745;141;Porto Alegre;Robson Souza;Tablet ZetaPhone;Melvin Halloran;masculino;cartão de débito
2024-08-12 05:03:56.703936;142;Belo Horizonte;Carlos Silva;Notebook;Rodney Tran;masculino;cartão de débito
2024-08-12 06:11:50.420554;143;Belo Horizonte;Carlos Silva;Smartwatch ZetaWatch;Richard Labruzzo;masculino;cartão de débito
2024-08-12 11:06:58.036646;144;Florianópolis;Gustavo Lima;Smartwatch ZetaWatch;John Wenz;masculino;boleto
2024-08-12 11:10:51.648761;145;São Paulo;Lucas Pereira;Smartwatch ZetaWatch;Rickie Miller;masculino;cartão de débito
2024-08-12 11:20:54.563470;146;Belo Horizonte;Fernanda;Fone ZetaAudio;Joseph Morales;masculino;boleto
2024-08-12 13:22:54.994800;147;Belo Horizonte;Carlos Silva;Smartwatch ZetaWatch;Edith Bland;feminino;pix
2024-08-13 08:39:50.129167;148;Rio de Janeiro;Pedro Pereira;Tablet ZetaPhone;Marlene Larkin;feminino;boleto
2024-08-14 07:21:51.319628;149;Florianópolis;Jorge Ferreira;Smartwatch ZetaWatch;Kraig Jones;masculino;espécie
2024-08-14 08:22:51.024718;150;Porto Alegre;Robson Souza;Tablet ZetaPhone;Denise Banks;feminino;boleto
2024-08-14 08:46:59.655685;151;Belo Horizonte;Fernanda;Notebook;Kenneth Grady;masculino;cartão de crédito
2024-08-14 10:54:51.559124;152;Belo Horizonte;Carlos Silva;Smartphone ZetaPhone Universal;Rosa Alconcel;feminino;cartão de débito
2024-08-14 12:49:58.291173;153;Rio de Janeiro;Pedro Pereira;Notebook;George Webb;masculino;cartão de crédito
2024-08-14 13:05:57.812411;154;Belo Horizonte;Fernanda;Smartwatch ZetaWatch;Mary Murphy;feminino;pix
2024-08-14 14:26:00.486212;155;São Paulo;Ana Oliveira;Fone ZetaAudio;Kristina Overton;feminino;cartão de débito
2024-08-15 08:03:55.086114;156;São Paulo;Ana Oliveira;Notebook;Judith Kim;feminino;boleto
2024-08-15 09:06:51.772598;157;Porto Alegre;Mário Silva;Tablet ZetaPhone;Virgil Ellingwood;masculino;boleto
2024-08-15 09:55:57.986005;158;Belo Horizonte;Fernanda;Fone ZetaAudio;Spencer House;masculino;cartão de débito
2024-08-16 05:15:49.982586;159;São Paulo;Ana Oliveira;Tablet ZetaPhone;Jeff Barash;masculino;boleto
2024-08-16 05:32:54.233722;160;Rio de Janeiro;Juliana Oliveira;Smartphone ZetaPhone Universal;Randy Spears;masculino;espécie
2024-08-16 06:50:58.986116;161;Porto Alegre;Robson Souza;Tablet ZetaPhone;Quincy Molnar;masculino;espécie
2024-08-16 07:08:59.335681;162;São Paulo;Lucas Pereira;Notebook;Gloria Hullett;feminino;pix
2024-08-16 07:36:54.404443;163;Belo Horizonte;Carlos Silva;Smartwatch ZetaWatch;Gabriel Cradduck;masculino;cartão de débito
2024-08-16 07:48:57.598325;164;Belo Horizonte;Fernanda;Smartwatch ZetaWatch;Heather Hornbeck;feminino;cartão de débito
2024-08-16 07:49:57.071882;165;Belo Horizonte;Fernanda;Notebook;Patricia Boyd;feminino;pix
2024-08-16 08:13:49.715583;166;Porto Alegre;Robson Souza;Smartphone ZetaPhone Universal;Brenda Sondrini;feminino;cartão de crédito
2024-08-16 08:24:53.880926;167;Rio de Janeiro;Pedro Pereira;Fone ZetaAudio;Patricia Nixon;feminino;cartão de crédito
2024-08-16 09:05:53.281260;168;Rio de Janeiro;Pedro Pereira;Notebook;Elizabeth Trainer;feminino;boleto
2024-08-16 12:25:55.988569;169;Florianópolis;Jorge Ferreira;Smartphone ZetaPhone Universal;Christina Davis;feminino;espécie
2024-08-16 12:30:57.590440;170;Florianópolis;Jorge Ferreira;Tablet ZetaPhone;Marjorie Hermanson;feminino;cartão de débito
2024-08-17 05:21:58.852635;171;Belo Horizonte;Fernanda;Tablet ZetaPhone;Lawrence Watts;masculino;cartão de crédito
2024-08-17 05:23:59.661804;172;Florianópolis;Gustavo Lima;Smartphone ZetaPhone Universal;Edna Karam;feminino;cartão de débito
2024-08-17 06:19:59.173601;173;São Paulo;Ana Oliveira;Notebook;Frances May;feminino;pix
2024-08-17 06:27:58.756718;174;Rio de Janeiro;Juliana Oliveira;Smartphone ZetaPhone Universal;Vanessa Cordova;feminino;cartão de crédito
2024-08-17 07:17:54.422626;175;Rio de Janeiro;Juliana Oliveira;Notebook;Michelle Robertson;feminino;boleto
2024-08-17 10:22:50.897064;176;São Paulo;Lucas Pereira;Tablet ZetaPhone;Ivette Coleman;feminino;espécie
2024-08-17 11:27:51.633856;177;Porto Alegre;Robson Souza;Tablet ZetaPhone;Robert Mikeska;masculino;cartão de crédito
2024-08-18 07:28:54.241150;178;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Mary Morton;feminino;cartão de crédito
2024-08-18 08:11:54.007125;179;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Clifford Hughes;masculino;cartão de débito
2024-08-19 06:01:53.246942;180;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Dorothy Seiler;feminino;cartão de débito
2024-08-19 08:17:51.270646;181;Rio de Janeiro;Pedro Pereira;Smartwatch ZetaWatch;Sue Warren;feminino;boleto
2024-08-19 09:28:53.747882;182;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Willie Martin;feminino;boleto
2024-08-19 11:11:56.821883;183;Rio de Janeiro;Juliana Oliveira;Smartphone ZetaPhone Universal;Beverly Camus;feminino;cartão de débito
2024-08-19 12:05:57.107928;184;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Christopher Hill;masculino;pix
2024-08-19 12:23:50.967694;185;Belo Horizonte;Fernanda;Smartwatch ZetaWatch;Joan Conrad;feminino;cartão de débito
2024-08-20 08:56:53.510818;186;Florianópolis;Jorge Ferreira;Fone ZetaAudio;Claude Steward;masculino;espécie
2024-08-20 09:04:55.785498;187;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Howard Haas;masculino;espécie
2024-08-20 14:30:50.734607;188;Porto Alegre;Mário Silva;Notebook;Michael Burroughs;masculino;pix
2024-08-21 08:06:50.170804;189;Porto Alegre;Robson Souza;Smartwatch ZetaWatch;Maria Tippett;feminino;cartão de débito
2024-08-21 10:20:58.945469;190;São Paulo;Ana Oliveira;Fone ZetaAudio;Jeffrey Jenkins;masculino;pix
2024-08-21 11:32:49.499446;191;Porto Alegre;Robson Souza;Smartwatch ZetaWatch;Jack Keith;masculino;boleto
2024-08-22 13:18:52.624690;192;São Paulo;Ana Oliveira;Tablet ZetaPhone;Joyce Murray;feminino;cartão de débito
2024-08-22 15:17:51.025044;193;Belo Horizonte;Fernanda;Smartphone ZetaPhone Universal;Jerald Sutton;masculino;pix
2024-08-23 04:26:51.558893;194;Porto Alegre;Mário Silva;Smartwatch ZetaWatch;Mark Anderson;masculino;cartão de débito
2024-08-23 06:02:53.893047;195;Porto Alegre;Mário Silva;Tablet ZetaPhone;Evan Roberts;masculino;cartão de débito
2024-08-23 06:53:53.829753;196;Porto Alegre;Robson Souza;Tablet ZetaPhone;Peggy Burges;feminino;cartão de débito
2024-08-23 09:44:57.632305;197;Porto Alegre;Mário Silva;Smartphone ZetaPhone Universal;Scott Vaquera;masculino;pix
2024-08-23 11:00:51.202076;198;Rio de Janeiro;Pedro Pereira;Notebook;Kathleen Simpson;feminino;cartão de débito
2024-08-23 11:34:52.203349;199;Rio de Janeiro;Pedro Pereira;Smartwatch ZetaWatch;Edna Polland;feminino;boleto
2024-08-23 13:27:53.970213;200;Florianópolis;Gustavo Lima;Smartphone ZetaPhone Universal;Debra Gober;feminino;espécie
2024-08-24 11:14:52.447240;201;Belo Horizonte;Carlos Silva;Fone ZetaAudio;Karen Decker;feminino;cartão de débito
2024-08-24 13:14:55.653893;202;Belo Horizonte;Carlos Silva;Smartphone ZetaPhone Universal;Emma Rosenfield;feminino;boleto
2024-08-24 13:48:54.923307;203;Rio de Janeiro;Juliana Oliveira;Smartwatch ZetaWatch;Stacy Rojas;feminino;cartão de débito
2024-08-24 13:52:56.558650;204;Belo Horizonte;Carlos Silva;Tablet ZetaPhone;Carrie Outen;feminino;boleto
2024-08-24 14:11:57.987711;205;Porto Alegre;Mário Silva;Notebook;Joy Murders;feminino;espécie
2024-08-24 14:40:58.351692;206;Belo Horizonte;Carlos Silva;Tablet ZetaPhone;Jack Leland;masculino;cartão de crédito
2024-08-24 15:20:00.642303;207;Porto Alegre;Mário Silva;Fone ZetaAudio;Joshua Mcgowan;masculino;espécie
2024-08-25 08:01:52.301821;208;Belo Horizonte;Carlos Silva;Smartphone ZetaPhone Universal;Patricia Damron;feminino;cartão de crédito
2024-08-25 11:53:56.940564;209;Rio de Janeiro;Pedro Pereira;Notebook;Barb Hazelhurst;feminino;cartão de crédito
2024-08-25 11:53:58.382975;210;Florianópolis;Jorge Ferreira;Smartwatch ZetaWatch;Mable Saylor;feminino;cartão de débito
2024-08-26 06:40:01.237680;211;Rio de Janeiro;Pedro Pereira;Smartphone ZetaPhone Universal;Sallie Anderson;feminino;cartão de débito
2024-08-26 09:31:50.318231;212;Florianópolis;Gustavo Lima;Smartwatch ZetaWatch;Phillip Corso;masculino;pix
2024-08-26 09:56:51.316150;213;Rio de Janeiro;Pedro Pereira;Notebook;Emma Davis;feminino;cartão de débito
2024-08-26 12:31:51.501894;214;Porto Alegre;Robson Souza;Fone ZetaAudio;Robert Madruga;masculino;espécie
2024-08-26 14:55:54.436773;215;São Paulo;Ana Oliveira;Fone ZetaAudio;Myron Ezell;masculino;pix
2024-08-27 04:26:58.795794;216;São Paulo;Ana Oliveira;Smartwatch ZetaWatch;Brittany Morris;feminino;espécie
2024-08-27 07:41:55.329015;217;Belo Horizonte;Carlos Silva;Notebook;John Ball;masculino;cartão de crédito
